"","HEI","Title","Description"
"37","Universidad Nacional del Sur","Composite/ Nanocomposite Processing","THERMOPLASTIC COMPOSITES/NANOCOMPOSITES PROCESSING OPERATIONS EXPERIENCE"
"38","Universidad Nacional del Sur","Tailored Polymer Processes","MODEL-BASED DESIGN OF POLYMER SYNTHESIS, DEGRADATION AND POST-REACTOR PROCESSES"
"39","Universidad Nacional del Sur","Polymer Synthesis","CONTROLLED MACROMOLECULAR SYNTHESIS"
"40","Universidad Nacional del Sur","Plastic Products","EVALUATION OF FINISHED PLASTIC PRODUCTS"
"41","Universidad Nacional del Sur","Materials Identification","SEPARATION AND IDENTIFICATION OF COMPONENTS BY PHYSICAL AND CHEMICAL METHODS"
"42","Universidad Nacional del Sur","Plastic Materials Characterization","COMPLETE CHARACTERIZATION OF POLYMER PHYSICOCHEMICAL PROPERTIES"
"43","Universidad Nacional del Sur","Flexible Packaging Materials","PERFORMANCE AND FAILURE ANALYSIS OF POLYMERIC PACKAGING MATERIALS"
"44","Universidad Nacional del Sur","Failure and Contamination Analysis","EVALUATION OF POLYMERS, BLENDS, COMPOSITES, FILMS AND LAMINATES"
"45","Universidad Nacional de Río Negro","SEMMIOTICAR","Comprehensive approach to measuring and remedying microplastic pollution"
"46","Universidad Nacional de Córdoba","Polymer blend processing and formulation capabilities","Development and optimization of polymer compounds at laboratory and pilot scale"
"47","Universidad Nacional de Córdoba","Comprehensive polymer characterization capability","Physicochemical, thermal, mechanical and morphological characterization of polymers"
"48","Universidad Nacional de Córdoba","Polymer processing capability with high-pressure fluids","Modification of polymer properties using supercritical fluids"
"49","Universidad Nacional de Colombia","Design for sustainability","Development of sustainable products and processes"
"50","Universidad Nacional de Colombia","Circularity assessment","Circularity assessment in process and products"
"51","Universidad Nacional de Colombia","Sustainability analysis","Comprehensive assessment of environmental, social, and economic impact."
"52","Universidad Nacional de Colombia","Mechanical and thermal characterization of polymers","Integral analysis of mechanical and thermal"
"53","Universidad Nacional de Colombia","Polymerization processes","Custom polymer design and synthesis for specific applications"
"54","Universidad Nacional de Colombia","Polymer process scale-up","Modeling and scaling of processes"
"55","Universidad Central","Technical Support in Plastic Classification","Applied Testing for Innovation in Recycling and Recycled Plastic Material (RPM) Processing"
"56","Universidad Central","Urban Waste Management Modeling","Mathematical Models for Trend and Scenario Analysis"
"57","Universidad Central","Formulation of Comprehensive Waste Management Plans (PGIRS)","Analysis of Plastic Packaging Waste Management"
"58","Universidad Central","Logistics Optimization","Development and Application of Route Optimization Models"
"59","Universidad Central","Equipment Assistance, Maintenance, and Operation","Training and Technical Advisory to Improve Equipment Use and useful life"
"60","Universidad Central","Process Optimization in the Manufacturing Industry","Consulting for Productive Efficiency in the Plastics Sector"
"61","Universidad Central","Plastic Prototype Analysis","Evaluation of Plastic Prototypes Under Injection Parameters"
"62","Universidad Central","Circular Policy Assessment","Support for Knowledge and Implementation of Circular Economy Policies"
"63","Universidad Central","Life Cycle Assessment Consulting","Life Cycle Analysis of Plastic Materials and Processes"
"64","Universidad Central","Plastic Compatibility Study","Analysis of plastic waste compatibility for material testing"
"65","Universidad Central","Technical Advisory Services for Recyclers","Support and guidance in technical skill development for recyclers"
"66","Universidad Central","Analysis of Synthetic Polymers","Identification of synthetic polymers through characterization techniques"
"67","Universidad Central","Intellectual and Industrial Property","Advisory services in intellectual and industrial property for problem-solving"
"68","Universidad Central","Technological Development of Instrumentation","Support in instrumentation design"
"69","Universidad Central","Circularity Adoption Pathways","Methodologies for adopting circularity within ESG indicators"
"70","Universidad Nacional de Río Negro","Support for the circular economy","Support and strengthening of intermediary entities in the circular economy"
"71","Universidad Nacional de Río Negro","Environmental management plan","environmental management plan at Atlantic Site of UNRN"
"72","Universidad Nacional de Río Negro","Design of recycling systems","Design of Local Recycling Systems with Social Inclusion"
"73","Universidad Nacional de Río Negro","Environmental Quality and Biotechnology Laboratory (LCAB)","R&D&I in biotechnology applied to environmental sustainability."
"74","Pontificia Universidad Católica de Valparaíso","Polymer Laboratory","Synthesis and study of materials with technological potential"
"75","Pontificia Universidad Católica de Valparaíso","Polymer Laboratory","Synthesis and study of materials with technological potential"
"76","Pontificia Universidad Católica de Valparaíso","Electron Microscopy Laboratory","Advanced microstructural and elemental characterization"
"77","Pontificia Universidad Católica de Valparaíso","Valparaíso Makerspace: creative, tech & collaborative space","Space equipped for the creation, validation and testing of prototypes."
"78","Pontificia Universidad Católica de Valparaíso","PUCV Institutional Recycling System","Comprehensive waste management and traceability"
