"","HEI","Title","Description","Level"
"11","Universidad Nacional del Sur","Gas Chromatography","Gas chromatography (GC) is a widely used analytical tool for qualitative and quantitative characterization of different samples. Examples of typical applications involving GC technique are analysis of natural products, food composition, food additives, flavor and aroma components, natural gas, a variety of transformation products, packaging materials and contaminants (such as environmental pollutants, fumigants pesticides and natural toxins). The course covers basic and practical aspects of handling GC.","Avanzado"
"12","Universidad Nacional del Sur","Biopolymers","Biopolymers and biodegradable materials are proposed as alternative materials to synthetic polymers. They are finding new industrial and commercial applications: packaging, medical supplies, and automotive parts, among others. Thus, some aspects including obtaining methods, processing technologies, costs, environmental sustainability, characteristics, final properties, and developing products are relevant. This course gives an overview of the biopolymer field from the obtaining to characterization, properties, and applications of these materials.","Intermedio"
"13","Universidad Nacional de Córdoba","University Diploma in Circular Economy and Sustainability StrategiesEconomía circular y ODS; gestión de residuos; diseño de procesos circulares; estrategias de reinserción de materiales reciclados (incluidos plásticos).","Circular economy and SDGs; waste management; circular process design; strategies for reintroducing recycled materials (including plastics).","Intermedio"
"14","Universidad Nacional de Córdoba","Training for Workers in the Circular Economy","Circular economy; green jobs; production process and value chain; negotiation and marketing; strategic planning.","Introductorio / básico"
"15","Universidad Nacional de Córdoba","University Diploma in New Economies","Current context and socio-ecological crisis, B Systems and impact assessment, Economy for the Common Good, Regenerative economy, Circular economy and sustainable systems design, Social, solidarity and cooperative economy, Ancestral knowledge and good living, Local economies and food sovereignty, Ethical banking and alternative financing models.","Intermedio"
"16","Universidad Nacional de Colombia","Environmental process design","Environmental performance assessment of processes; environmental process improvement (analysis by unit operations, integrated process flow diagram analysis, environmental assessment of process diagrams, environmental process cost accounting).","Intermedio"
"17","Universidad Nacional de Colombia","Life Cycle Assessment (LCA)","Introduction to LCA; goal and scope definition in LCA; life cycle inventory; life cycle impact assessment; LCA software and data management; limitations of LCA.","Introductorio / básico"
"18","Universidad Nacional de Colombia","Polymer processing","Introduction to polymer processing; macroscopic balance and continuity equation; stress and strain; extrusion process; injection molding; other operations (thermoforming, calendering, rotational molding).","Introductorio / básico"
"19","Universidad Nacional de Colombia","Polymerization processes","The course covers the following topics: introduction and general concepts; copolymerization processes; polymerization in homogeneous systems; suspension polymerization; emulsion polymerization.","Intermedio"
"20","Universidad Nacional de Colombia","Marketing, Innovation and Entrepreneurship","The course integrates fundamentals of marketing, entrepreneurship, and innovation, covering the marketing mix, consumer behavior, and corporate social responsibility with an emphasis on sustainability and circular economy. It also develops tools to formulate value propositions, define resources, costs, and sales channels, and apply creative methodologies to generate, evaluate, and present sustainable business ideas.","Introductorio / básico"
"21","Universidad Central","Effective Use of Equipment for Operators","Preventive maintenance plan for machinery  Inspection of electrical panels and cooling systems  Optimization of control practices  Optional laboratory-based activities","Intermedio"
"22","Universidad Central","Managing and Recycling","The program consists of four modules environmental, administrative, financial, and personal development and provides training in environmental management, logistics, digital marketing, communication, commercialization, legislation, product life cycle, accounting, financing, leadership, entrepreneurship, and office software tools","Introductorio / básico"
"23","Universidad Central","Sustainability Measurement","Measurement of carbon, water, and environmental footprints  Sustainability indices  Eco-efficiency and cleaner production indicators  Environmental process analysis","Introductorio / básico"
"24","Universidad Nacional de Río Negro","Environmental Education and Awareness Plan","The Plan has two stages: 1) theoretical and practical environmental education training, focused on promoting waste recycling as a healthy and strategic habit to encourage proper waste management, as well as strengthening and enhancing a circular and sustainable economy. The courses are geared towards different audiences and levels of complexity; 2) implementation of a pilot program within the institution for separating wet and dry waste for proper recycling.","Intermedio"
"25","Universidad Nacional de Río Negro","Environmental Impact of Plastics","Assessment of the fate and effects of plastics in aquatic ecosystems as an indicator of leakage in the circular economy. The interaction of microplastics with environmental matrices and their ecotoxicological impact on biota (macroinvertebrates and fish) are addressed. Environmental risk analysis is conducted to inform mitigation strategies and the redesign of sustainable production processes","Intermedio"
"26","Universidad Nacional de Río Negro","Training for middle and senior managers in management and leadership","Communication Power, Performance, and Reputation Leadership Time Management Agile Methodologies Effective Delegation Oral Presentations Analysis and Problem Solving High-Performance Team Management Conflict and Negotiation Change Management","Intermedio"
"27","Universidad Nacional de Río Negro","Metagenomics and Biotechnology for a Circular Economy","Introduction to microbial ecology and its application in the degradation and valorization of polymeric waste. Bioinformatics and metagenomics tools for studying the microbiome in impacted environments. Bioprospecting strategies to identify enzymes capable of degrading plastics. Bioeconomy and sustainable processes in industry.","Avanzado"
"28","Universidad Nacional de Río Negro","Entrepreneur training","Entrepreneurship, ideas, and business opportunities Business management Business Model Canvas Cost analysis Business plan Communication Time management and agile methodologies","Intermedio"
"29","Pontificia Universidad Católica de Valparaíso","Tools for Carbon Footprint Assessment and Life Cycle Analysis","The course provides theoretical and practical training in LCA methodology, including SimaPro use, real case studies, applied exercises, and group workshops for developing Carbon Footprint and LCA analyses, ending with a presentation of results.","Intermedio"
"30","Pontificia Universidad Católica de Valparaíso","Diploma in Circular Economy and Waste Management","Program covering circular production models, the Extended Producer Responsibility Law (EPR), integrated waste management, ecodesign, regulatory frameworks, and operational excellence in sustainability. Includes case analysis, applied module work, and practical tools to implement circular strategies.","Intermedio"
"31","Pontificia Universidad Católica de Valparaíso","Diploma in Measurement, Reporting and Verification of GHG Emissions and Reductions","Diploma aimed at training specialists in GHG emission and reduction MRV for voluntary certification. Covers climate change concepts, international methodologies, emission quantification, reporting, verification, current regulations, and practical case studies across productive sectors.","Intermedio"
"32","Pontificia Universidad Católica de Valparaíso","Diploma in Environmental Regulation and Chemistry","The diploma provides knowledge on how to apply analytical criteria to environmental issues, their toxic effects, and pollution control. It trains students in project management in accordance with current regulations and in the analysis of environmental samples, addressing sampling, treatment, analysis, and interpretation of results at different stages.","Intermedio"
"33","Pontificia Universidad Católica de Valparaíso","Diploma in Materials for Engineering","In-depth study of the properties, applications, and identification of engineering materials, focusing on polymers for packaging, composites, failure mechanisms, and detection methods. Includes solid modeling and analysis of wear/corrosion. The program features virtual practical sessions and case studies.","Avanzado"
"34","Pontificia Universidad Católica de Valparaíso","Diploma in Climate Action","Tools and strategies for climate action at territorial level, with emphasis on governance, sustainability, circular economy and mitigation. Includes practical cases and active learning methodologies applied to real-world contexts.","Intermedio"
"35","Pontificia Universidad Católica de Valparaíso","International Diploma in Innovation","Covers models and tools for innovation management, from idea generation to implementation. Methodologies such as Design Thinking and Lean Startup are explored, along with international best practices. Includes practical application in real organizational contexts.","Intermedio"
"36","Pontificia Universidad Católica de Valparaíso","Introduction to 3D Printing and Laser Cutting","Basics of digital fabrication, safe and practical use of 3D printers and laser cutters, key operational parameters, design software, and development of a functional prototype. Includes hands-on lab sessions.","Introductorio / básico"
"37","Universidad Nacional del Sur","Basic training on plastic classification and mechanical recycling","The course covers basic topics such as what plastics are and how they behave under different conditions, and why it is important not to mix them. It also includes topics related to plastic classification using accessible techniques, fundamental concepts and criteria of mechanical recycling, and safety procedures to be considered during the process. In addition, the environmental role of sorting activities within the circular economy of these materials will be analyzed.","Introductorio / básico"
